Unique ID,Country,Age,Annual Family Income ($),Gender,Time spent watching videos/TV,Time spent playing indoor sports,Time spent playing outdoor sports,Total Time spent working in front of screen,Sleeping hours,IQ,Whether parents have specs,English speaker,Migrated within country,Migrated overseas,"Maritial Status (0 - Single, 1 - Married, 2 - Divorced)",Has Diabetes,Education Status,Has Gym Subscription,Has OTT subscription,Number of friends,Likes spicy food,Likes desserts,Wants to change career,Has debt,Has kids,Drinks alcohol,Smoker,Wear Specs
2858209,CAN,14,27260,Female,2,3,1,10,6,90,0,1,1,0,0,0,Studying,0,1,0,0,1,0,0,0,0,0,1
6765292,CAN,14,52036,Male,4,0,4,10,10,133,0,1,0,0,0,0,Studying,0,1,1,0,1,0,0,0,0,0,0
3779836,CAN,14,28533,Female,0,1,4,8,6,125,0,1,0,0,0,0,Studying,0,1,7,0,1,0,0,0,0,0,0
711596,CAN,14,14335,Male,4,2,3,8,12,95,1,1,0,0,0,0,Studying,0,1,1,1,1,0,0,0,0,0,0
517306,CAN,14,5977,Female,1,2,3,6,10,119,1,1,1,0,0,0,Studying,0,1,2,1,1,0,0,0,0,0,0
3553627,CAN,14,52642,Male,3,3,0,8,6,85,1,1,1,0,0,0,Studying,0,1,1,0,1,0,0,0,0,0,1
9978315,CAN,14,11196,Male,2,1,3,16,6,116,0,1,0,1,0,0,Studying,0,1,2,0,0,0,0,0,0,0,0
3344010,CAN,15,15894,Female,4,3,0,10,11,103,0,1,0,0,0,0,Studying,0,1,3,1,1,0,0,0,0,0,0
2149482,CAN,15,35604,Female,2,0,0,14,8,95,0,1,0,1,0,0,Studying,1,1,9,0,1,0,0,0,0,0,0
1149015,CAN,15,25658,Male,2,4,2,8,2,117,0,1,0,0,0,0,Studying,0,1,5,0,0,0,0,0,1,0,1
4072442,CAN,15,20886,Male,4,2,4,11,4,103,0,1,0,0,0,0,Studying,1,1,4,0,0,0,0,0,0,0,0
5741517,CAN,15,56506,Female,2,2,4,3,7,104,0,1,0,0,0,0,Studying,0,1,9,1,1,0,0,0,0,0,0
8837010,CAN,15,12448,Female,5,1,0,11,7,101,1,1,0,1,0,0,Studying,0,1,1,0,1,0,0,0,0,0,1
5247488,CAN,15,56606,Female,7,3,0,9,7,89,0,1,0,1,0,0,Studying,0,1,8,0,1,0,0,0,0,0,1
4014844,CAN,15,18718,Female,6,3,4,14,11,109,1,1,0,0,0,0,Studying,1,1,2,0,1,0,0,0,0,0,0
9444124,CAN,15,10778,Female,4,2,2,6,8,105,0,1,1,1,0,0,Studying,0,1,2,1,1,0,0,0,0,0,0
9163517,CAN,15,44195,Male,3,3,0,10,6,114,0,1,1,0,0,0,Studying,1,1,2,0,0,0,0,0,1,0,0
7223667,CAN,15,54148,Male,6,1,2,5,6,120,1,1,0,1,0,0,Studying,0,1,3,0,1,0,0,0,0,0,1
6593966,CAN,16,57813,Male,1,1,3,12,5,136,0,0,0,0,0,1,Studying,0,1,8,0,1,0,1,0,0,0,0
8069823,CAN,16,11182,Female,3,3,0,16,12,123,0,1,0,0,0,0,Studying,0,0,5,0,0,0,0,0,0,0,0
2948914,CAN,16,36367,Female,1,3,2,11,7,97,1,1,0,0,0,0,Dropout,1,1,7,0,0,0,1,0,0,0,0
6611154,CAN,16,25869,Female,6,2,2,13,6,120,0,1,0,1,0,0,Studying,0,1,2,0,1,0,0,0,0,0,1
7813168,CAN,16,734,Female,2,2,2,13,4,104,0,1,0,0,0,0,Studying,1,1,8,0,1,0,0,0,0,0,0
1520927,CAN,16,37045,Female,3,1,4,6,10,90,0,1,1,0,0,0,Dropout,1,1,7,0,1,0,0,0,0,0,0
9158995,CAN,16,13189,Male,0,0,1,11,10,87,0,1,1,0,0,0,Studying,0,1,9,0,1,0,0,0,0,0,0
70855,CAN,16,11542,Female,7,3,0,13,4,93,0,1,0,1,0,0,Studying,1,1,8,0,1,0,0,0,0,0,1
2643614,CAN,16,55357,Male,1,2,3,10,12,88,1,1,0,1,0,0,Studying,1,1,4,1,1,0,1,0,0,0,0
7664539,CAN,16,25828,Female,1,0,1,17,7,112,1,1,0,0,0,0,Studying,0,1,2,0,1,0,1,0,0,0,1
2314231,CAN,16,19850,Male,0,3,1,12,5,90,1,0,0,0,0,0,Studying,0,1,7,0,1,0,0,0,0,0,1
4987114,CAN,16,6019,Male,2,2,1,15,9,124,0,1,1,1,0,1,Studying,0,1,6,0,1,0,0,1,0,0,0
5711316,CAN,16,54872,Male,2,2,2,7,11,115,0,1,0,0,0,1,Studying,1,1,2,0,1,0,0,0,0,0,0
3264560,CAN,16,22569,Female,6,0,3,9,7,96,1,1,0,1,0,0,Studying,0,1,2,0,1,0,0,0,0,0,1
6409414,CAN,16,4891,Female,5,2,3,8,6,111,0,1,0,1,0,0,Studying,0,0,0,0,1,0,1,0,0,0,0
2493932,CAN,16,56417,Female,2,1,4,10,10,110,0,1,0,1,0,0,Studying,0,1,8,1,1,0,0,0,1,0,0
4855327,CAN,16,29555,Male,7,1,0,8,3,136,1,1,1,0,0,0,Studying,0,1,8,1,0,0,0,0,0,0,1
409710,CAN,16,52708,Female,3,1,4,13,6,109,0,1,1,1,0,0,Studying,1,0,1,0,1,0,0,0,0,0,0
9190051,CAN,16,19560,Female,5,1,4,5,-1,148,1,1,0,0,0,0,Dropout,1,1,2,0,1,0,0,0,0,0,1
2614163,CAN,17,5361,Male,2,4,0,8,7,139,0,0,1,0,0,0,Studying,0,1,0,0,1,0,0,0,0,0,0
9791618,CAN,17,3186,Male,6,0,3,8,8,78,1,1,0,0,0,1,Studying,0,1,4,0,1,0,1,0,0,0,1
753713,CAN,17,12896,Female,1,2,1,10,10,124,0,1,0,0,0,0,Studying,1,1,8,0,1,0,1,0,0,0,0
3228801,CAN,17,5211,Male,7,1,1,4,11,91,0,1,0,1,0,0,Studying,0,1,2,0,1,0,0,0,0,0,0
4503142,CAN,17,9654,Female,6,1,4,12,7,101,1,1,0,0,0,0,Studying,1,1,10,0,1,0,0,0,0,0,0
9501243,CAN,17,18499,Female,7,2,1,12,12,76,0,1,1,1,0,0,Studying,1,0,1,0,1,0,0,0,0,0,0
336521,CAN,17,9905,Female,0,0,2,16,5,104,1,1,1,0,0,1,Studying,0,1,3,0,1,0,0,0,0,0,1
4713606,CAN,17,34454,Male,2,3,1,13,10,141,0,1,0,0,0,0,Studying,0,1,2,0,1,0,0,0,0,0,0
2110932,CAN,18,15626,Female,4,4,3,9,5,114,0,1,1,0,0,1,Studying,0,1,5,0,1,0,0,0,0,0,1
8220493,CAN,18,36946,Female,4,0,3,9,12,116,0,1,0,0,0,0,Studying,0,1,7,0,1,0,0,0,0,0,0
8318824,CAN,18,16987,Female,4,0,2,9,6,120,1,1,0,1,0,0,Studying,0,1,9,0,1,0,0,1,0,0,0
5420682,CAN,18,3217,Female,3,2,0,13,5,96,1,1,1,0,0,0,Studying,1,1,2,1,1,0,1,1,0,0,1
1322198,CAN,18,50113,Female,5,1,2,11,12,120,1,1,1,1,0,1,Studying,0,1,3,0,0,0,0,0,0,0,1
3854089,CAN,18,28885,Male,4,1,3,12,12,124,1,1,0,1,0,0,Studying,0,1,5,0,0,0,0,1,0,0,0
9467268,CAN,18,19303,Female,1,1,3,14,8,123,0,1,0,0,0,0,Dropout,0,1,8,0,1,0,1,0,0,0,0
7520433,CAN,18,15277,Female,0,1,2,8,5,140,0,1,0,1,0,0,Studying,1,0,9,0,0,0,0,0,0,0,0
9854812,CAN,18,26529,Female,3,2,1,13,15,127,0,1,0,0,0,0,Studying,0,1,0,0,1,0,0,0,0,0,0
3519291,CAN,19,56715,Female,2,4,3,15,10,107,0,1,0,1,0,0,Studying,0,1,8,1,1,0,0,0,0,0,0
5201654,CAN,19,18138,Male,2,1,3,8,8,120,1,1,0,0,0,0,Studying,1,1,5,0,1,0,0,0,0,0,0
689012,CAN,19,17166,Female,2,4,0,5,9,74,0,1,1,0,0,0,Studying,1,1,10,0,1,0,0,0,0,0,0
9111889,CAN,19,14889,Female,1,2,1,11,7,115,1,1,0,0,0,0,Studying,1,1,0,0,1,0,0,0,0,0,1
6204762,CAN,19,29407,Female,2,0,3,9,5,125,0,0,0,0,0,0,Studying,1,1,5,0,1,0,0,0,0,0,0
1850689,CAN,19,51422,Male,5,2,3,12,11,111,1,1,1,0,0,0,Studying,1,1,1,0,1,0,0,0,0,0,0
8068061,CAN,19,22764,Female,1,1,1,12,5,91,0,1,0,0,0,0,Studying,0,0,8,0,1,0,0,1,0,0,0
2278399,CAN,19,4723,Female,4,1,0,16,4,109,1,1,1,0,0,1,Studying,0,1,3,0,1,0,1,0,0,0,1
1881922,CAN,19,13003,Female,2,2,0,12,6,93,1,1,0,1,0,0,Studying,1,1,4,0,0,0,0,0,0,0,0
7718376,CAN,20,6500,Female,6,3,0,5,7,124,0,1,0,1,0,0,Studying,1,1,9,1,0,0,0,0,0,0,0
3110200,CAN,20,13864,Male,6,1,2,10,5,104,0,1,0,0,0,0,Studying,0,1,8,0,0,0,0,0,0,0,0
2628281,CAN,20,58994,Female,6,2,4,12,6,114,0,1,0,1,0,0,Studying,0,1,1,0,0,0,1,0,0,0,1
5907489,CAN,20,47434,Female,3,3,2,11,4,115,0,1,0,1,0,0,Studying,1,0,4,0,1,0,0,0,0,0,0
4179274,CAN,20,5294,Male,6,1,2,7,6,66,0,1,1,0,1,0,Dropout,0,1,2,1,1,0,0,0,0,0,0
278619,CAN,20,45802,Male,5,2,1,7,8,109,1,1,1,0,0,0,Studying,1,1,3,0,1,0,0,0,0,0,0
8528593,CAN,20,23896,Male,6,2,4,10,3,114,0,1,0,1,0,1,Studying,0,1,9,1,1,0,0,0,0,0,1
5830667,CAN,20,16460,Female,1,1,1,7,3,98,0,1,0,1,0,0,Studying,0,1,0,0,1,0,0,0,0,0,0
820407,CAN,20,6805,Female,6,2,1,7,13,103,1,1,1,1,0,0,Dropout,0,1,5,0,1,0,0,0,0,0,0
2319642,CAN,20,26425,Female,3,1,3,9,7,132,1,1,1,0,0,0,Studying,0,1,5,0,1,0,0,0,0,0,1
1160710,CAN,20,27914,Female,1,1,3,10,6,99,0,1,1,1,1,0,Studying,0,1,1,0,1,0,0,0,0,0,0
8380850,CAN,20,55768,Female,6,1,4,12,7,82,1,1,0,1,0,0,Studying,0,1,2,1,1,0,1,0,0,0,1
149699,CAN,20,59858,Male,3,3,0,8,4,87,1,1,0,0,0,0,Studying,0,1,10,0,0,0,0,0,0,0,1
6552526,CAN,20,44690,Female,4,2,2,15,2,104,0,1,0,0,0,0,Studying,0,1,9,0,1,0,0,0,0,0,1
4016163,CAN,20,52725,Female,1,1,3,11,0,84,0,1,0,1,0,0,Studying,1,1,3,1,0,0,0,1,0,0,0
6127542,CAN,21,49290,Male,5,1,4,14,6,129,0,1,0,0,0,0,Studying,0,1,2,0,1,0,0,0,0,0,1
9216745,CAN,21,45043,Female,5,2,4,9,8,93,1,0,1,0,0,0,Studying,0,1,2,1,1,0,0,0,0,0,1
4678604,CAN,21,26150,Female,1,3,1,12,13,81,0,1,0,0,0,0,Studying,0,1,2,0,1,0,1,0,0,0,0
1321564,CAN,21,34639,Female,3,1,3,10,7,92,1,1,1,0,0,0,Studying,0,1,6,0,1,0,1,0,0,0,0
2467225,CAN,21,30927,Male,7,3,0,11,8,113,1,1,1,1,1,0,Studying,0,1,6,1,1,0,0,0,0,0,1
5071599,CAN,21,38151,Male,6,3,3,8,7,108,0,1,0,1,0,0,Studying,1,1,4,0,0,0,0,0,0,0,0
6032355,CAN,21,49753,Female,6,4,2,11,2,95,0,1,0,1,0,0,Studying,0,1,4,0,0,0,0,0,0,0,1
5718955,CAN,21,455,Male,6,2,3,11,9,95,1,1,0,0,0,0,Dropout,0,1,3,1,1,0,0,0,0,0,0
2753753,CAN,21,27246,Female,6,3,3,16,6,137,1,1,0,0,0,0,Studying,0,1,9,0,0,0,0,1,0,0,1
5451687,CAN,21,9652,Female,6,1,3,6,1,109,0,1,0,1,1,0,Studying,0,1,4,1,1,0,0,0,0,0,1
9219047,CAN,22,57754,Female,3,0,4,8,8,82,1,1,0,1,0,0,Studying,0,1,10,1,1,0,0,0,0,0,0
848868,CAN,22,37613,Female,6,2,4,16,7,93,0,1,0,1,0,0,Studying,0,1,5,1,1,0,0,0,0,0,0
6858601,CAN,22,40793,Male,2,3,2,5,4,111,0,1,1,0,1,1,Studying,0,1,7,0,1,0,1,1,0,0,0
7035488,CAN,22,21541,Female,2,2,4,14,12,126,0,0,0,0,0,1,Graduate,1,1,9,0,1,1,1,0,1,1,0
4200839,CAN,22,23376,Female,3,1,4,9,9,100,0,1,1,0,0,0,Graduate,0,1,3,0,1,0,1,1,1,1,0
1962565,CAN,22,27945,Male,5,3,3,12,3,98,0,1,0,0,0,0,Graduate,0,1,7,0,1,1,0,1,1,0,1
2074216,CAN,22,30924,Female,3,4,3,12,5,92,0,1,0,0,1,0,Dropout,1,1,9,0,0,0,1,1,1,1,0
2334458,CAN,22,4436,Female,5,0,3,11,8,117,1,1,0,1,0,0,Graduate,1,1,2,0,1,1,0,1,1,0,1
5625356,CAN,22,21502,Female,0,0,4,8,8,91,0,1,0,0,1,0,Graduate,1,1,8,0,1,1,1,1,1,1,0
1804917,CAN,23,11931,Male,4,1,1,9,6,102,1,1,0,0,0,0,Graduate,1,1,1,1,0,0,1,0,1,0,1
1331109,CAN,23,52251,Female,7,2,1,13,6,114,1,1,0,0,1,0,Graduate,0,1,9,0,1,0,1,1,1,1,1
3193327,CAN,23,24800,Male,0,3,1,7,8,102,1,1,0,0,0,1,Graduate,1,1,2,1,1,0,1,1,1,0,1
7836625,CAN,23,22213,Female,6,3,0,13,7,145,1,1,0,1,0,0,Graduate,0,1,4,1,1,0,0,1,1,0,1
1677630,CAN,23,3949,Female,1,2,1,8,7,120,1,1,0,1,1,0,Graduate,0,1,5,0,1,0,1,1,1,1,1
636347,CAN,23,9325,Female,1,1,4,7,8,126,0,1,0,0,0,0,Graduate,1,1,10,0,0,0,1,1,1,1,0
6552072,CAN,23,9304,Female,1,0,0,11,5,101,0,1,1,0,1,0,Graduate,0,1,6,0,0,0,1,1,1,1,0
7651145,CAN,23,45799,Female,5,2,3,18,2,89,0,1,0,1,1,0,Graduate,1,0,8,1,0,0,1,1,1,1,1
7580881,CAN,23,14953,Male,3,2,1,9,3,129,0,0,0,1,1,0,Dropout,1,1,6,0,1,0,1,1,1,1,1
8001460,CAN,23,24692,Female,4,4,2,10,6,95,0,1,1,1,0,0,Graduate,0,1,6,0,1,0,1,0,0,0,0
1335572,CAN,23,31235,Female,5,0,4,4,4,112,0,1,0,0,1,1,Graduate,1,1,1,0,0,0,1,1,1,1,0
3255983,CAN,23,24952,Female,6,1,1,6,5,130,0,1,1,1,1,0,Graduate,0,0,6,0,1,1,1,1,1,1,1
8581059,CAN,23,12641,Female,3,1,3,6,11,118,0,0,0,0,0,0,Graduate,0,0,6,0,1,0,0,1,0,0,0
1459243,CAN,23,55809,Female,3,1,0,12,5,105,0,1,0,0,0,1,Graduate,0,1,1,0,1,0,1,1,1,0,1
2363575,CAN,23,53384,Female,1,2,0,4,8,132,1,1,0,1,0,1,Graduate,0,1,1,0,0,1,1,0,1,1,1
6577941,CAN,23,54405,Female,6,4,0,10,8,99,1,1,0,0,0,0,Graduate,0,1,9,0,1,0,0,0,0,0,1
2343783,CAN,23,31101,Female,5,2,1,11,8,100,0,0,0,0,0,0,Graduate,1,1,7,1,1,0,1,1,0,1,0
8378688,CAN,23,27486,Female,7,3,1,10,8,126,1,1,0,0,0,1,Graduate,0,1,4,0,1,0,1,1,1,1,1
3284479,CAN,24,38431,Female,1,0,4,13,9,103,0,1,1,1,1,0,Graduate,0,1,5,0,0,0,1,1,0,1,0
2873962,CAN,24,10372,Male,4,1,0,14,5,96,1,1,0,0,1,0,Graduate,1,1,7,0,1,0,0,1,1,0,1
6263849,CAN,24,44080,Male,2,2,3,12,6,116,0,0,0,0,0,0,Graduate,0,1,8,0,1,0,1,1,1,1,0
7849538,CAN,24,36379,Female,3,0,3,15,10,125,0,1,0,0,0,0,Graduate,0,1,2,0,1,0,1,1,1,1,0
7881502,CAN,24,39457,Male,2,1,2,5,1,95,1,1,0,1,0,0,Graduate,1,1,2,0,1,1,0,1,1,0,1
9110509,CAN,24,46591,Female,3,3,2,10,9,116,1,1,0,0,0,0,Graduate,1,1,8,0,1,1,1,0,0,1,1
3143764,CAN,24,5237,Female,6,2,0,12,16,78,1,1,0,0,0,0,Dropout,0,0,9,1,1,0,1,0,0,0,0
3916675,CAN,24,16560,Male,4,1,4,9,8,89,0,0,0,0,1,0,Graduate,0,0,2,0,1,1,1,1,1,0,0
2135170,CAN,24,57110,Male,1,1,4,9,1,121,1,1,0,0,0,1,Graduate,1,1,8,1,1,0,0,1,1,0,1
6484007,CAN,24,32426,Male,2,4,1,11,3,117,1,0,0,0,1,0,Graduate,1,1,8,0,1,0,1,1,1,1,1
4284021,CAN,24,27156,Male,4,1,4,11,7,105,1,1,0,1,0,0,Graduate,0,1,3,0,1,1,0,1,1,0,1
4298874,CAN,24,42755,Male,2,2,1,10,7,106,0,1,0,0,0,0,Graduate,1,1,7,0,0,0,1,1,1,0,0
4186325,CAN,24,34436,Female,4,2,0,10,7,125,1,1,0,1,0,0,Graduate,1,1,9,0,1,0,1,0,1,1,1
1803557,CAN,24,21861,Female,2,4,4,8,6,86,0,1,0,0,0,0,Graduate,0,1,8,0,1,1,1,1,1,0,0
5836476,CAN,24,44912,Female,6,3,2,13,0,97,0,0,0,0,0,0,Graduate,0,1,9,0,0,0,1,1,0,1,1
3976891,CAN,24,8184,Female,1,1,4,7,10,123,1,1,0,1,0,0,Graduate,0,1,2,0,1,1,1,1,1,1,0
8675777,CAN,24,52634,Female,1,1,3,13,6,116,1,1,0,0,0,1,Graduate,0,1,4,1,1,0,1,0,1,1,1
63870,CAN,24,15877,Female,1,1,1,8,8,90,1,0,0,1,0,1,Graduate,0,1,1,1,0,0,1,1,1,1,1
7716224,CAN,24,41335,Female,4,3,4,13,7,125,0,1,1,0,1,0,Graduate,1,1,3,0,1,0,0,1,1,0,0
9131573,CAN,24,50818,Female,3,4,1,10,10,103,0,1,0,1,1,0,Graduate,1,1,7,0,0,0,0,0,0,0,0
5133367,CAN,24,8151,Female,5,2,3,10,5,98,1,1,0,0,0,0,Graduate,1,0,9,0,1,0,1,1,1,1,1
8170559,CAN,24,36296,Male,1,1,1,5,2,91,0,1,0,0,0,0,Dropout,0,1,1,0,1,0,0,0,1,0,0
2596699,CAN,25,666,Male,0,3,2,8,3,97,0,1,0,0,0,0,Graduate,0,1,5,0,0,0,1,0,1,0,0
9935988,CAN,25,27809,Female,2,1,1,12,3,113,0,1,0,0,1,0,Graduate,0,0,0,0,1,0,1,1,1,0,1
3687309,CAN,25,2169,Male,1,3,4,8,3,107,1,1,0,0,1,0,Graduate,0,1,1,1,1,0,0,1,0,0,0
1215622,CAN,25,46744,Male,3,3,2,15,11,106,1,1,0,0,1,0,Graduate,0,1,1,0,1,0,1,1,0,1,0
8112205,CAN,25,53894,Male,5,0,2,13,8,103,1,1,0,0,1,1,Graduate,0,0,1,0,1,0,1,1,1,0,1
525863,CAN,25,43176,Male,4,4,1,13,11,111,0,1,0,0,0,0,Graduate,1,1,4,1,0,1,1,0,1,0,1
4352966,CAN,25,10426,Female,3,0,3,8,7,120,1,1,0,1,0,0,Graduate,0,0,7,0,1,0,1,1,1,1,0
6916965,CAN,25,5731,Female,5,3,1,9,4,98,1,1,0,0,0,0,Graduate,1,1,0,0,1,0,1,1,1,0,1
5419140,CAN,25,42622,Female,3,0,1,7,9,93,0,1,0,1,0,1,Graduate,0,1,10,1,1,1,1,1,1,1,0
441623,CAN,25,48823,Male,6,1,2,7,3,108,1,1,0,1,0,0,Graduate,1,1,0,0,1,1,1,0,1,1,1
4525068,CAN,25,43384,Male,0,3,2,7,5,120,0,1,0,1,1,0,Graduate,1,1,10,0,1,1,1,1,0,0,0
918170,CAN,26,34005,Female,4,3,0,7,4,116,1,1,1,0,1,0,Graduate,0,1,6,0,1,1,1,1,1,0,1
8568610,CAN,26,41572,Male,1,4,2,6,5,92,1,1,0,0,0,0,Graduate,1,0,3,0,1,0,1,1,1,1,1
3349566,CAN,26,25750,Female,2,2,4,2,10,73,0,1,0,1,0,1,Graduate,0,1,6,0,0,1,1,1,0,1,0
6217592,CAN,26,27735,Female,2,2,2,12,5,92,0,1,0,1,0,0,Graduate,1,1,5,0,1,1,0,0,0,0,0
702789,CAN,26,4070,Female,1,3,1,7,1,126,0,1,0,1,1,0,Graduate,0,1,5,0,0,1,0,1,0,0,1
4642435,CAN,26,2277,Female,0,4,2,15,5,115,0,1,1,0,1,0,Graduate,0,1,2,0,1,1,1,1,1,0,1
3943722,CAN,26,40212,Female,2,2,1,10,6,69,1,1,0,1,1,0,Graduate,0,0,8,1,1,0,1,1,1,1,1
2598502,CAN,26,11484,Female,3,3,2,11,1,117,1,1,0,0,1,0,Graduate,0,1,2,1,1,1,1,0,1,1,1
1822153,CAN,26,56359,Female,1,1,2,15,7,117,0,1,0,0,1,0,Graduate,0,0,1,0,1,1,1,1,1,1,1
3683898,CAN,26,13144,Female,2,4,3,11,4,111,0,1,1,0,0,0,Graduate,1,1,7,0,1,0,0,1,1,0,0
6809930,CAN,26,25093,Male,4,2,3,7,5,106,0,1,0,1,1,0,Graduate,0,1,9,0,0,1,0,1,1,0,0
221432,CAN,26,36111,Male,2,1,2,9,9,118,1,1,0,0,1,0,Graduate,1,1,1,0,1,0,0,1,0,0,0
1127386,CAN,26,43419,Female,3,4,4,9,4,117,1,1,1,0,0,0,Graduate,1,1,6,0,0,1,1,1,0,0,0
1452399,CAN,26,49815,Female,2,3,2,16,5,103,1,1,0,0,0,1,Graduate,0,0,3,1,1,1,1,1,0,1,1
9581768,CAN,26,22791,Female,4,1,3,6,7,76,0,1,0,1,0,0,Graduate,1,1,10,0,0,0,1,1,1,1,0
8648781,CAN,27,39646,Female,3,2,2,11,7,96,0,1,0,0,0,0,Graduate,0,1,1,1,1,0,1,1,0,1,0
7815538,CAN,27,424,Male,3,0,1,10,5,93,1,1,0,1,1,0,Graduate,0,1,6,0,0,0,1,0,1,1,1
3057216,CAN,27,75,Female,3,1,1,9,2,108,0,1,0,0,1,1,Graduate,0,1,4,0,1,1,0,1,1,0,1
7225674,CAN,27,30091,Female,1,1,2,13,13,106,1,1,0,0,0,0,Graduate,0,1,7,0,1,0,0,1,0,0,0
7183942,CAN,27,11528,Female,2,2,2,10,4,120,1,1,0,0,0,0,Graduate,0,1,3,1,0,1,0,1,1,0,1
6011625,CAN,27,43224,Male,5,1,3,15,5,98,1,1,0,1,0,0,Graduate,0,1,4,0,1,1,0,0,1,0,1
9140822,CAN,27,20044,Female,1,3,0,8,9,116,0,0,0,0,1,0,Graduate,0,1,5,0,1,0,1,0,1,1,0
1817500,CAN,27,41309,Female,0,3,3,9,6,94,0,1,1,1,0,0,Graduate,0,1,9,0,0,0,0,1,1,0,0
3461420,CAN,27,4748,Male,5,2,2,12,5,109,0,1,1,1,0,0,Graduate,1,1,6,1,1,0,1,1,0,1,0
5087396,CAN,27,2842,Male,0,3,0,13,2,100,1,1,0,0,0,1,Graduate,0,1,6,0,1,0,1,1,0,1,1
1861521,CAN,27,40557,Female,5,3,2,16,7,120,1,1,1,1,0,0,Graduate,0,1,5,1,0,0,1,1,1,1,1
6164827,CAN,27,33226,Female,2,3,3,11,9,117,0,1,0,0,0,0,Graduate,1,1,3,0,1,1,0,1,1,0,0
3589635,CAN,27,58305,Male,6,2,3,14,7,105,1,1,0,0,0,0,Graduate,0,0,6,0,1,1,1,1,0,1,0
3294664,CAN,27,53744,Female,5,4,2,8,0,114,0,1,0,0,0,1,Graduate,0,1,6,1,0,0,1,1,1,1,1
6253433,CAN,27,39854,Male,5,4,2,9,5,136,0,1,0,0,1,0,Graduate,0,1,8,0,1,0,1,1,1,1,0
3488863,CAN,27,46674,Female,3,4,2,7,8,122,0,1,1,1,0,0,Graduate,0,1,1,0,1,0,0,1,0,0,0
1715402,CAN,27,11882,Female,3,3,2,16,7,99,1,1,0,0,0,0,Graduate,0,1,0,0,1,1,1,1,1,1,1
6940538,CAN,27,29616,Female,6,3,2,13,9,93,1,0,0,1,1,1,Graduate,0,1,8,1,0,0,1,0,0,1,1
4635576,CAN,27,41283,Female,2,1,4,12,4,108,1,0,1,0,1,0,Graduate,1,1,9,0,1,0,0,1,1,0,0
1745682,CAN,28,6629,Female,6,3,0,11,5,109,0,1,0,1,0,0,Graduate,0,1,8,0,1,1,1,1,0,1,1
7644147,CAN,28,23508,Male,4,2,2,7,4,130,1,1,0,0,1,0,Graduate,0,1,6,0,1,0,1,1,0,0,1
8875533,CAN,28,1589,Female,1,1,2,12,10,121,0,1,0,1,0,0,Graduate,1,1,4,1,1,0,0,1,1,0,0
9132430,CAN,28,22907,Female,3,1,2,9,4,114,0,1,0,0,1,0,Graduate,0,1,7,0,0,0,1,1,1,1,0
4542005,CAN,28,178,Female,5,3,0,9,1,110,1,1,0,1,0,0,Graduate,0,1,8,0,1,0,0,1,0,0,1
5335884,CAN,28,27092,Male,4,1,0,9,4,102,1,1,0,1,1,0,Graduate,1,1,9,0,1,1,1,0,0,0,1
2703448,CAN,28,5855,Male,6,3,0,9,4,89,0,1,0,0,0,0,Graduate,1,1,1,0,1,0,1,1,0,1,1
2486177,CAN,29,22855,Female,1,3,1,10,9,109,0,1,0,0,0,1,Graduate,0,1,10,0,0,1,0,1,1,0,0
3669313,CAN,29,41850,Male,1,1,4,9,6,115,1,1,1,0,0,1,Graduate,1,1,4,0,1,0,1,1,1,1,1
9679948,CAN,29,30953,Male,1,2,3,6,7,92,0,1,1,0,0,0,Graduate,0,1,3,1,1,0,0,1,0,0,0
